"age,income,loanamount,creditscore,yearsexperience,gender,education,city,employmenttype,loanapproved,income_loan_ratio,risklevel,experiencegroup,incomegroup"
"56,48353.0,31258.0,675.0,20,Female,High School,Houston,Unemployed,0,1.5468999936016379,Low Risk,Senior,Medium"
"69,57462.0,23262.0,586.0,6,Male,High School,San Francisco,Self-Employed,0,2.4702089244261027,High Risk,Mid,Medium"
"46,44219.0,26530.0,781.0,26,Male,Phd,Houston,Self-Employed,1,1.666754617414248,Low Risk,Expert,Medium"
"32,56307.0,11531.0,549.0,11,Male,Bachelors,New York,Unemployed,0,4.8830977365362935,High Risk,Senior,Medium"
"60,37034.0,27871.0,500.0,19,Female,High School,Chicago,Unemployed,0,1.3287646657816368,High Risk,Senior,Medium"
"25,47886.0,18106.0,835.0,13,Male,Masters,New York,Salaried,1,2.6447586435435766,Low Risk,Senior,Medium"
"38,54748.0,25374.0,760.0,9,Female,High School,New York,Self-Employed,1,2.157641680460314,Low Risk,Mid,Medium"
"56,49488.0,6279.0,599.0,22,Male,Phd,New York,Unemployed,0,7.881509794553272,High Risk,Expert,Medium"
"36,25918.0,25041.0,777.0,29,Female,Bachelors,San Francisco,Unemployed,0,1.0350225629966854,Low Risk,Expert,Low"
"40,43415.0,2065.0,382.0,30,Female,High School,San Francisco,Self-Employed,0,21.024213075060533,High Risk,Expert,Medium"
"28,75162.0,17793.0,757.0,9,Female,Phd,New York,Unemployed,0,4.224245489799359,Low Risk,Mid,High"
"28,42613.0,6356.0,597.0,18,Female,High School,San Francisco,Self-Employed,0,6.704373820012586,High Risk,Senior,Medium"
"41,50237.0,25064.0,663.0,18,Female,Phd,Houston,Unemployed,0,2.004348866900734,Low Risk,Senior,Medium"
"53,48699.0,20554.0,579.0,22,Female,Bachelors,Chicago,Self-Employed,0,2.369319840420356,High Risk,Expert,Medium"
"57,49488.0,13834.0,639.0,31,Male,Masters,San Francisco,Salaried,1,3.577273384415209,Low Risk,Expert,Medium"
"41,69356.0,31475.0,815.0,19,Female,Bachelors,San Francisco,Unemployed,0,2.2035266084193803,Low Risk,Senior,High"
"20,62113.0,12827.0,407.0,3,Male,Bachelors,New York,Unemployed,1,4.842363763935449,High Risk,Junior,High"
"39,35401.0,-4250.0,615.0,32,Female,Phd,Chicago,Unemployed,0,-8.329647058823529,Low Risk,Expert,Medium"
"19,55388.0,24109.0,413.0,0,Female,Phd,Houston,Salaried,0,2.2973993114604503,High Risk,,Medium"
"41,49488.0,5867.0,466.0,12,Male,Bachelors,Houston,Unemployed,0,8.434975285495142,High Risk,Senior,Medium"
"61,39521.0,13080.0,560.0,2,Female,Masters,Chicago,Unemployed,0,3.0214831804281346,High Risk,Fresher,Medium"
"47,36942.0,15861.0,523.0,11,Male,Masters,Houston,Self-Employed,1,2.3291091356156612,High Risk,Senior,Medium"
"55,75575.0,8608.0,561.0,28,Female,High School,Chicago,Unemployed,0,8.779623605947956,High Risk,Expert,High"
"19,45488.0,16050.0,550.0,30,Male,Masters,New York,Unemployed,0,2.8341433021806854,High Risk,Expert,Medium"
"38,74225.0,8758.0,825.0,35,Male,Bachelors,Houston,Self-Employed,1,8.47510847225394,Low Risk,Expert,High"
"50,64956.0,21299.0,425.0,1,Female,Bachelors,Houston,Salaried,0,3.0497206441616975,High Risk,Fresher,High"
"29,56118.0,10170.0,505.0,21,Male,Masters,Chicago,Salaried,0,5.5179941002949855,High Risk,Expert,Medium"
"39,56788.0,20241.0,439.0,21,Male,Masters,Houston,Self-Employed,0,2.805592609060817,High Risk,Expert,Medium"
"61,28994.0,29296.0,361.0,30,Female,Bachelors,San Francisco,Salaried,0,0.9896914254505734,High Risk,Expert,Low"
"42,53102.0,26259.0,582.0,13,Female,Bachelors,New York,Salaried,0,2.022239993906851,High Risk,Senior,Medium"
"66,71255.0,19346.0,353.0,28,Female,Bachelors,Houston,Unemployed,0,3.683190323581102,High Risk,Expert,High"
"44,60220.0,12090.0,645.0,34,Male,Bachelors,Houston,Unemployed,0,4.980976013234078,Low Risk,Expert,High"
"59,52315.0,21273.0,823.0,8,Male,Bachelors,Houston,Unemployed,1,2.4592206082828,Low Risk,Mid,Medium"
"45,75679.0,14434.0,435.0,31,Male,Masters,Chicago,Salaried,0,5.243106553969794,High Risk,Expert,High"
"33,47224.0,21609.0,629.0,26,Female,Masters,New York,Unemployed,0,2.1853857189134156,Low Risk,Expert,Medium"
"32,40707.0,6278.0,443.0,9,Female,High School,New York,Salaried,0,6.48407136030583,High Risk,Mid,Medium"
"64,52307.0,26458.0,735.0,24,Male,High School,Houston,Unemployed,0,1.976982387179681,Low Risk,Expert,Medium"
"68,61497.0,20266.0,581.0,32,Female,Phd,Houston,Salaried,0,3.034491266160071,High Risk,Expert,High"
"61,24233.0,37668.0,435.0,10,Female,High School,Chicago,Self-Employed,0,0.6433312095147075,High Risk,Mid,Low"
"69,54273.0,30448.0,788.0,36,Female,Masters,New York,Self-Employed,1,1.7824816079873884,Low Risk,Expert,Medium"
"20,62155.0,24529.0,700.0,8,Female,High School,San Francisco,Unemployed,0,2.5339394186473156,Low Risk,Mid,High"
"54,45955.0,19008.0,748.0,6,Female,High School,Houston,Salaried,1,2.4176662457912457,Low Risk,Mid,Medium"
"68,66604.0,14163.0,569.0,6,Male,Masters,San Francisco,Self-Employed,0,4.702675986725976,High Risk,Mid,High"
"24,59618.0,27539.0,316.0,33,Male,Bachelors,San Francisco,Self-Employed,0,2.164857111732452,High Risk,Expert,Medium"
"38,82121.0,18164.0,568.0,18,Female,Masters,New York,Unemployed,0,4.521085663950672,High Risk,Senior,High"
"26,38741.0,29347.0,781.0,19,Female,Masters,San Francisco,Unemployed,0,1.3201008620983405,Low Risk,Senior,Medium"
"56,62461.0,23207.0,518.0,24,Male,Phd,Houston,Salaried,0,2.6914724005687938,High Risk,Expert,High"
"35,34740.0,23264.0,618.0,4,Male,Phd,Houston,Self-Employed,0,1.4932943603851445,Low Risk,Junior,Medium"
"21,25770.0,24756.0,537.0,28,Male,Bachelors,Chicago,Salaried,0,1.0409597673291324,High Risk,Expert,Low"
"42,19467.0,12643.0,844.0,26,Male,Bachelors,New York,Salaried,0,1.5397453136122756,Low Risk,Expert,Low"
"31,58075.0,11823.0,584.0,24,Male,High School,New York,Unemployed,0,4.912035862302292,High Risk,Expert,Medium"
"67,52764.0,11546.0,336.0,36,Female,Phd,San Francisco,Salaried,0,4.569894335700676,High Risk,Expert,Medium"
"26,42814.0,28380.0,402.0,14,Male,Masters,Houston,Salaried,0,1.508597603946441,High Risk,Senior,Medium"
"43,23397.0,12434.0,729.0,3,Male,Phd,Houston,Self-Employed,0,1.881695351455686,Low Risk,Junior,Low"
"19,39644.0,13431.0,538.0,13,Male,Masters,Chicago,Salaried,0,2.951678951678952,High Risk,Senior,Medium"
"37,50061.0,24300.0,424.0,16,Male,Bachelors,San Francisco,Self-Employed,0,2.0601234567901234,High Risk,Senior,Medium"
"45,61898.0,17984.0,487.0,20,Female,Phd,Houston,Self-Employed,0,3.4418371886120998,High Risk,Senior,High"
"64,49752.0,16962.0,555.0,15,Female,Masters,New York,Salaried,0,2.933144676335338,High Risk,Senior,Medium"
"24,53781.0,16268.0,829.0,25,Male,High School,Chicago,Salaried,1,3.3059380378657486,Low Risk,Expert,Medium"
"61,44358.0,1395.0,691.0,8,Male,Bachelors,New York,Self-Employed,1,31.79784946236559,Low Risk,Mid,Medium"
"25,76238.0,12265.0,767.0,1,Female,Masters,Chicago,Salaried,1,6.215898899306971,Low Risk,Fresher,High"
"64,34726.0,29453.0,552.0,14,Male,High School,New York,Self-Employed,0,1.179030998540047,High Risk,Senior,Medium"
"52,39511.0,15685.0,475.0,34,Male,High School,San Francisco,Salaried,0,2.5190309212623525,High Risk,Expert,Medium"
"31,42615.0,4796.0,765.0,23,Female,Masters,Houston,Self-Employed,1,8.885529608006673,Low Risk,Expert,Medium"
"34,58141.0,11936.0,588.0,37,Female,Phd,New York,Self-Employed,0,4.871062332439679,High Risk,Expert,Medium"
"53,34417.0,22879.0,349.0,13,Male,High School,San Francisco,Unemployed,0,1.5043052580969447,High Risk,Senior,Medium"
"67,49488.0,22720.0,303.0,36,Male,Bachelors,New York,Salaried,0,2.178169014084507,High Risk,Expert,Medium"
